REDE;NR_LATITUDE_LOJA;NR_LONGITUDE_LOJA;ID_LOJA_LEGADO;TIPO_LOJA;FL_ANALISE_MADURAS;ENDERECO;CHAVE_UNICA
RAIA;-21,199080800000001;-41,897529200000001;10001;CONCORRENTES;0;RUA JOSE EGYDIO TINOCO, 189;RAIA_-21,199080800000001_-41,897529200000001_RUA JOSE EGYDIO TINOCO, 189
RAIA;-21,204358899999999;-41,891557200000001;10002;CONCORRENTES;0;AVENIDA CARDOSO MOREIRA, 761;RAIA_-21,204358899999999_-41,891557200000001_AVENIDA CARDOSO MOREIRA, 761
RAIA;-21,747492999999999;-41,322754699999997;10003;CONCORRENTES;0;AVENIDA TANCREDO NEVES, 85;RAIA_-21,747492999999999_-41,322754699999997_AVENIDA TANCREDO NEVES, 85
RAIA;-21,751348;-41,335397899999997;10004;CONCORRENTES;0;AVENIDA ALBERTO TORRES, 424;RAIA_-21,751348_-41,335397899999997_AVENIDA ALBERTO TORRES, 424
RAIA;-21,756217100000001;-41,323561400000003;10005;CONCORRENTES;0;PRAÇA SANTÍSSIMO SALVADOR, 97;RAIA_-21,756217100000001_-41,323561400000003_PRAÇA SANTÍSSIMO SALVADOR, 97
RAIA;-21,756537542149097;-41,333847818278144;10006;CONCORRENTES;0;RUA TENENTE-CORONEL CARDOSO, 835;RAIA_-21,756537542149097_-41,333847818278144_RUA TENENTE-CORONEL CARDOSO, 835
RAIA;-21,760520700000001;-41,309496799999998;10007;CONCORRENTES;0;AVENIDA ALBERTO LAMEGO, 1087;RAIA_-21,760520700000001_-41,309496799999998_AVENIDA ALBERTO LAMEGO, 1087
RAIA;-21,762716300000001;-41,328646499999998;10008;CONCORRENTES;0;AVENIDA PELINCA, 231;RAIA_-21,762716300000001_-41,328646499999998_AVENIDA PELINCA, 231
RAIA;-21,763317000000001;-41,326504800000002;10009;CONCORRENTES;0;RUA DOUTOR LACERDA SOBRINHO, 281;RAIA_-21,763317000000001_-41,326504800000002_RUA DOUTOR LACERDA SOBRINHO, 281
RAIA;-21,768777100000001;-41,318797400000001;10010;CONCORRENTES;0;AVENIDA VINTE E OITO DE MARCO, 111;RAIA_-21,768777100000001_-41,318797400000001_AVENIDA VINTE E OITO DE MARCO, 111
RAIA;-21,7804;-41,3254;10011;CONCORRENTES;0;AVENIDA DOUTOR ARTUR BERNARDES, 155;RAIA_-21,7804_-41,3254_AVENIDA DOUTOR ARTUR BERNARDES, 155
RAIA;-22,115548199999999;-43,207450199999997;10012;CONCORRENTES;0;PRAÇA DA AUTONOMIA, 123;RAIA_-22,115548199999999_-43,207450199999997_PRAÇA DA AUTONOMIA, 123
RAIA;-22,2402412;-43,694443800000002;10013;CONCORRENTES;0;PC XV DE NOVEMBRO C/RUA VITO PENTAGNA, 734;RAIA_-22,2402412_-43,694443800000002_PC XV DE NOVEMBRO C/RUA VITO PENTAGNA, 734
RAIA;-22,283951099999999;-42,531613900000004;10014;CONCORRENTES;0;AVENIDA ALBERTO BRAUNE, 52;RAIA_-22,283951099999999_-42,531613900000004_AVENIDA ALBERTO BRAUNE, 52
RAIA;-22,285270799999999;-42,532820899999997;10015;CONCORRENTES;0;RUA FERNANDO BIZZOTO, 47;RAIA_-22,285270799999999_-42,532820899999997_RUA FERNANDO BIZZOTO, 47
RAIA;-22,302316000000001;-42,541211399999987;10016;CONCORRENTES;0;AVENIDA JÚLIO ANTÔNIO THURLER, 58;RAIA_-22,302316000000001_-42,541211399999987_AVENIDA JÚLIO ANTÔNIO THURLER, 58
