REDE,NR_LATITUDE_LOJA,NR_LONGITUDE_LOJA,ID_LOJA_LEGADO,TIPO_LOJA,FL_ANALISE_MADURAS,Qtd_Lojas_Venancio,Qtd_Lojas_Concorrentes,Qtd_Total_Lojas_Proximas
RAIA,-23.0013984,-44.304623,10001,CONCORRENTES,0,0,0,0
RAIA,-23.0064364,-44.3171801,10002,CONCORRENTES,0,0,0,0
RAIA,-22.8747952,-42.3403659,10003,CONCORRENTES,0,0,0,0
RAIA,-22.874051,-42.3383716,10004,CONCORRENTES,0,0,0,0
RAIA,-22.545095,-44.170431,10005,CONCORRENTES,0,0,0,0
RAIA,-22.5450371,-44.1732154,10006,CONCORRENTES,0,0,0,0
RAIA,-22.883216,-42.018165,10007,CONCORRENTES,0,0,0,0
RAIA,-22.9066902,-43.1773424,10008,CONCORRENTES,0,0,0,0
RAIA,-22.8835773,-42.0250328,10009,CONCORRENTES,0,0,0,0
RAIA,-22.8788612,-42.018551,10010,CONCORRENTES,0,0,0,0
RAIA,-21.7605207,-41.3094968,10011,CONCORRENTES,0,0,0,0
RAIA,-21.751348,-41.3353979,10012,CONCORRENTES,0,0,0,0
RAIA,-21.7627163,-41.3286465,10013,CONCORRENTES,0,0,0,0
RAIA,-21.747493,-41.3227547,10014,CONCORRENTES,0,0,0,0
RAIA,-21.7687771,-41.3187974,10015,CONCORRENTES,0,0,0,0
RAIA,-21.7562171,-41.3235614,10016,CONCORRENTES,0,0,0,0
RAIA,-21.763317,-41.3265048,10017,CONCORRENTES,0,0,0,0
RAIA,-21.7565375,-41.3338478,10018,CONCORRENTES,0,0,0,0
RAIA,-22.643023,-43.2817172,10019,CONCORRENTES,0,0,0,0
RAIA,-22.7926843,-43.300758,10020,CONCORRENTES,0,0,0,0
RAIA,-22.7911155,-43.305376,10021,CONCORRENTES,0,0,0,0
RAIA,-22.5247128,-42.9815265,10022,CONCORRENTES,0,0,0,0
RAIA,-22.7384432,-42.8393571,10023,CONCORRENTES,0,0,0,0
RAIA,-22.8666823,-43.7631589,10024,CONCORRENTES,0,0,0,0
RAIA,-21.2043589,-41.8915572,10025,CONCORRENTES,0,0,0,0
RAIA,-21.1990808,-41.8975292,10026,CONCORRENTES,0,0,0,0
RAIA,-22.3858939,-41.7808852,10027,CONCORRENTES,0,0,0,0
RAIA,-22.3902375,-41.7862657,10028,CONCORRENTES,0,0,0,0
RAIA,-22.3798632,-41.7764768,10029,CONCORRENTES,0,0,0,0
RAIA,-22.403483,-41.797209,10030,CONCORRENTES,0,0,0,0
RAIA,-22.6561593,-43.0379419,10031,CONCORRENTES,0,0,0,0
RAIA,-22.6102859,-43.177327,10032,CONCORRENTES,0,0,0,0
RAIA,-22.9134576,-42.8197566,10033,CONCORRENTES,0,0,0,0
RAIA,-22.9179725,-42.8178628,10034,CONCORRENTES,0,0,0,0
RAIA,-22.9649023,-42.9790323,10035,CONCORRENTES,0,0,0,0
RAIA,-22.8089641,-43.4172814,10036,CONCORRENTES,0,0,0,0
RAIA,-22.8811474,-43.0857042,10037,CONCORRENTES,0,0,0,0
RAIA,-22.9534648,-43.0920597,10038,CONCORRENTES,0,0,0,0
RAIA,-22.9413365,-43.0284798,10039,CONCORRENTES,0,0,0,0
RAIA,-22.9070597,-43.1031878,10040,CONCORRENTES,0,0,0,0
RAIA,-22.9203487,-43.0905953,10041,CONCORRENTES,0,0,0,0
RAIA,-22.906376,-43.0563242,10042,CONCORRENTES,0,0,0,0
RAIA,-22.9375724,-43.0618193,10043,CONCORRENTES,0,0,0,0
RAIA,-22.9035956,-43.1160587,10044,CONCORRENTES,0,0,0,0
RAIA,-22.903629,-43.113883,10045,CONCORRENTES,0,0,0,0
RAIA,-22.9089635,-43.1083598,10046,CONCORRENTES,0,0,0,0
RAIA,-22.8939312,-43.1225663,10047,CONCORRENTES,0,0,0,0
RAIA,-22.8987042,-43.1060549,10048,CONCORRENTES,0,0,0,0
RAIA,-22.903225,-43.1104437,10049,CONCORRENTES,0,0,0,0
RAIA,-22.9021812,-43.103292,10050,CONCORRENTES,0,0,0,0
RAIA,-22.8967925,-43.12388,10051,CONCORRENTES,0,0,0,0
RAIA,-22.9022212,-43.1253311,10052,CONCORRENTES,0,0,0,0
RAIA,-22.2839511,-42.5316139,10053,CONCORRENTES,0,0,0,0
RAIA,-22.302316,-42.5412114,10054,CONCORRENTES,0,0,0,0
RAIA,-22.2852708,-42.5328209,10055,CONCORRENTES,0,0,0,0
RAIA,-22.7453869,-43.4392682,10056,CONCORRENTES,0,0,0,0
RAIA,-22.6877055,-43.4430942,10057,CONCORRENTES,0,0,0,0
RAIA,-22.7608848,-43.4560713,10058,CONCORRENTES,0,0,0,0
RAIA,-22.7589694,-43.4777336,10059,CONCORRENTES,0,0,0,0
RAIA,-22.388103,-43.132441,10060,CONCORRENTES,0,0,0,0
RAIA,-22.5098153,-43.1765442,10061,CONCORRENTES,0,0,0,0
RAIA,-22.525402,-43.1926113,10062,CONCORRENTES,0,0,0,0
RAIA,-22.5080487,-43.1719728,10063,CONCORRENTES,0,0,0,0
RAIA,-22.4893735,-43.1536166,10064,CONCORRENTES,0,0,0,0
RAIA,-22.5053713,-43.1809971,10065,CONCORRENTES,0,0,0,0
RAIA,-22.469225,-44.454409,10066,CONCORRENTES,0,0,0,0
RAIA,-22.4631289,-44.4473865,10067,CONCORRENTES,0,0,0,0
RAIA,-22.7123109,-42.6300351,10068,CONCORRENTES,0,0,0,0
RAIA,-22.5069478,-41.9261392,10069,CONCORRENTES,0,0,0,0
RAIA,-22.5128655,-41.930596,10070,CONCORRENTES,0,0,0,0
RAIA,-22.982269,-43.2166017,10071,CONCORRENTES,0,0,0,0
RAIA,-23.0203809,-43.4536006,10072,CONCORRENTES,0,0,0,0
